Stage,N,Median,Q1,Q3
Awake,127,0.07260869565217391,0.041680538036367835,0.10215347730463924
REM,121,0.02699619771863118,0.015165876777251185,0.044993662864385296
SWS,125,0.12945205479452054,0.06550218340611354,0.25833333333333336
