Amplitude_high,Freq_domain,Time_overlap,Stage,Centertime
False,1,False,W,704123855.4181563
False,1,False,W,704127358.3488437
False,1,False,W,704308215.3374375
False,1,False,W,704330199.2301563
False,1,False,W,704380785.1836562
False,1,False,W,704568629.4789375
False,1,False,W,704594474.2135
False,1,False,W,704596978.6090312
False,1,False,W,704628501.0789688
False,1,False,W,704642232.5292813
False,1,False,W,704689423.46125
False,1,False,W,704690527.4651562
False,1,False,W,704700460.0853437
False,1,False,W,704783435.209
False,1,False,W,704800488.4366562
False,1,False,W,704857424.0005312
False,1,False,W,704872021.6617812
False,1,False,W,704893087.58575
False,1,False,W,704903029.4832813
False,1,False,W,704908341.0087187
False,1,False,W,704943957.7189375
False,1,False,W,705114112.5560937
False,1,False,W,705166372.825
False,1,False,W,705171520.7762188
False,1,False,W,705245889.9398438
False,1,False,W,705345133.1339062
False,1,False,W,705359706.868375
False,1,False,W,705382883.6331875
False,1,False,W,705425046.732125
False,1,False,W,705490993.0411875
False,1,False,W,705491609.7414062
False,1,False,W,705557073.1403126
False,1,False,W,705559528.2184376
False,1,False,W,705575943.7507813
False,1,False,W,705581432.0340313
False,1,False,W,705609257.2373438
False,1,False,W,705669295.8305625
False,1,False,W,705698885.1950313
False,1,False,W,705828424.7848125
False,1,False,W,705863593.741125
False,2,False,W,705874670.4042813
False,1,False,W,705910712.89575
False,1,False,W,705937564.46725
False,1,False,W,706000369.6620313
False,1,False,W,706022685.587
False,1,False,W,706070594.2924062
False,1,False,W,706104417.0563124
False,1,False,W,706123033.27325
False,1,False,W,706138080.6415312
False,1,False,W,706147461.9921875
False,1,False,W,706176601.1603438
False,1,False,W,706215747.6567187
False,1,False,W,706216499.1225625
False,1,False,W,706251876.5739688
False,1,False,W,706269145.1346562
False,1,False,W,706301143.1905313
False,1,False,W,706368060.692
False,1,False,W,706371573.8765937
False,1,False,W,706377870.2653126
False,1,False,W,706493132.5073438
False,1,False,W,706589418.6691562
False,1,False,W,706590911.8342187
False,1,False,W,706634525.1284688
False,1,False,W,706672189.2029687
False,1,False,W,706724367.9289062
False,1,False,W,706739924.5745312
False,1,False,W,706748507.5853437
False,1,False,W,706776165.3081875
False,1,False,W,706778672.145125
False,1,False,W,706789969.5114063
False,1,False,W,706801732.2107188
False,1,False,W,706803982.2117188
False,1,False,W,706815095.4959687
False,1,False,W,706847276.1700313
False,1,False,W,706877622.8587188
False,1,False,W,706886647.2757813
False,1,False,W,706913662.9087813
False,1,False,W,706923739.0836562
False,1,False,W,706998056.97775
False,1,False,W,707045429.0620625
False,1,False,W,707060232.778
False,1,False,W,707076623.8962812
False,1,False,W,707080488.1550938
False,1,False,W,707101282.5946875
False,1,False,W,707104132.2050625
False,1,False,W,707106071.1709063
False,1,False,W,707108178.1055
False,1,False,W,707109664.9219062
False,1,False,W,707124112.6798126
False,1,False,W,707168853.90475
False,1,False,W,707179365.6265
False,1,False,W,707217267.0056875
False,1,False,W,707221144.4480938
False,1,False,W,707288947.69175
False,1,False,W,707296603.4554688
False,1,False,W,707316435.0044374
False,1,False,W,707370590.294875
False,1,False,W,707399550.2638125
False,1,False,W,707446998.0327188
False,1,False,W,707469842.278
False,1,False,W,707489557.12775
False,1,False,W,707501589.3573124
False,1,False,W,707557838.39875
False,1,False,W,707642833.0536562
False,1,False,W,707688656.3098438
False,1,False,W,707711692.4496562
False,1,False,W,707720256.9047812
False,1,False,W,707859238.3930937
False,1,False,W,707874111.93225
False,1,False,W,707898622.6824375
False,1,False,W,708173894.2498125
False,1,False,W,708240615.4622188
False,1,False,W,708286628.1715312
False,1,False,W,708327152.5975938
False,1,False,W,708327987.5585313
False,1,False,W,708372911.8889375
False,1,False,W,708380194.1175
False,1,False,W,708392336.2113438
False,1,False,W,708408855.7475938
False,1,False,W,708426539.835625
False,1,False,W,708427567.6676563
False,1,False,W,708428136.0270313
False,1,False,W,708502211.2453438
False,1,False,W,708807207.920375
False,1,False,W,708877395.441375
