Amplitude_high,Freq_domain,Time_overlap,Stage,Centertime
False,1,False,W,129711521.18309376
False,1,False,W,129732897.6549375
False,1,False,W,129738996.77803124
False,1,False,W,129753436.7234375
False,1,False,W,129755301.9588125
False,1,False,W,129758859.577
False,1,False,W,129772469.44428125
False,1,False,W,129779592.9814375
False,1,False,W,129829545.144875
False,1,False,W,129832850.8099375
False,1,False,W,129833627.177125
False,1,False,W,129870106.19303125
False,1,False,W,129890335.2029375
False,1,False,W,129896027.09846875
False,1,False,W,129900345.45984375
False,1,False,W,129915512.45603125
False,1,False,W,129968377.219125
False,1,False,W,129984893.8256875
False,1,False,W,129986090.11475
False,1,False,W,129987684.35303125
False,1,False,W,130024876.2595625
False,1,False,W,130029079.87384374
False,1,False,W,130029999.3074375
False,1,False,W,130074344.048
False,1,False,W,130108745.4251875
False,1,False,W,130109856.7543125
False,1,False,W,130116125.79928125
False,1,False,W,130123503.2426875
False,1,False,W,130140979.8101875
False,1,False,W,130148495.92546874
False,1,False,W,130179280.11515625
False,1,False,W,130193504.72853126
False,1,False,W,130198689.30084375
False,1,False,W,130208152.68275
False,1,False,W,130229757.1809375
False,1,False,W,130244274.7640625
False,1,False,W,130257613.14696875
False,1,False,W,130263873.89115626
False,1,False,W,130303837.2820625
False,1,False,W,130309520.8778125
False,1,False,W,130311451.05359375
False,1,False,W,130349893.44840625
False,1,False,W,130358975.9709375
False,1,False,W,130368103.902625
False,1,False,W,130399353.42434375
False,1,False,W,130401939.36284375
False,1,False,W,130402588.288625
False,1,False,W,130404870.5161875
False,1,False,W,130425846.59640625
False,1,False,W,130427053.62765625
False,1,False,W,130429370.5231875
False,1,False,W,130433418.86403126
False,1,False,W,130447511.1541875
False,1,False,W,130449270.9198125
False,1,False,W,130456535.08196875
False,1,False,W,130459373.461875
False,1,False,W,130460189.869125
False,1,False,W,130460694.26365624
False,1,False,W,130461536.5488125
False,1,False,W,130463357.34959374
False,1,False,W,130468407.6445625
False,1,False,W,130470052.66509375
False,1,False,W,130472748.95415625
False,1,False,W,130494232.847875
False,1,False,W,130495341.2463125
False,1,False,W,130505318.788375
False,1,False,W,130507298.2815625
False,1,False,W,130507916.93390626
False,1,False,W,130512339.2981875
False,1,False,W,130515494.572625
False,1,False,W,130520154.24259375
False,1,False,W,130521772.40665625
False,1,False,W,130526844.186
False,1,False,W,130534303.172375
False,1,False,W,130536294.3843125
False,1,False,W,130539387.64703125
False,1,False,W,130556018.023125
False,1,False,W,130572813.43828125
False,1,False,W,130575584.92365626
False,1,False,W,130588874.96671875
False,1,False,W,130591816.37396875
False,1,False,W,130614330.541125
False,1,False,W,130616586.88878125
False,1,False,W,130625454.07928126
False,1,False,W,130635964.3361875
False,1,False,W,130644389.63215625
False,1,False,W,130645494.612625
False,1,False,W,130646062.48371875
False,1,False,W,130656560.53359374
False,1,False,W,130664928.70065625
False,1,False,W,130677535.14996874
False,1,False,W,130679817.37653124
False,1,False,W,130683521.968375
False,1,False,W,130684390.1324375
False,1,False,W,130688247.5553125
False,1,False,W,130697270.01925
False,1,False,W,130699268.066125
False,1,False,W,130709077.15115625
False,1,False,W,130715605.96175
False,1,False,W,130720004.40125
False,1,False,W,130725677.74209376
False,1,False,W,130727688.48528124
False,1,False,W,130730791.513625
False,2,False,W,130747350.60065626
False,1,False,W,130757924.82240625
False,1,False,W,130784041.04134375
False,1,False,W,130802603.0590625
False,1,False,W,130809403.35403125
False,1,False,W,130810449.25246875
False,1,False,W,130811143.101125
False,1,False,W,130812801.30425
False,1,False,W,130814901.40290625
False,1,False,W,130827118.20278125
False,1,False,W,130828003.4576875
False,1,False,W,130830774.9430625
False,1,False,W,130843659.7116875
False,1,False,W,130890927.3048125
False,1,False,W,130895228.57534374
False,1,False,W,130898964.4161875
False,1,False,W,130932240.793375
False,1,False,W,130949664.6275
False,1,False,W,130970543.53975
False,1,False,W,130971080.649125
False,1,False,W,130987285.73225
False,1,False,W,130991427.82409374
False,1,False,W,130994565.51940624
False,1,False,W,130998181.73234375
False,1,False,W,131015147.55765624
False,1,False,W,131022197.36434375
False,1,False,W,131049400.985625
False,1,False,W,131051148.54521875
False,1,False,W,131080151.48390625
False,1,False,W,131084649.0435
False,1,False,W,131097768.188125
False,1,False,W,131104563.112
False,1,False,W,131125658.33284375
False,1,False,W,131145530.40915625
False,1,False,W,131146895.15625
False,1,False,W,131149986.954125
False,1,False,W,131156612.44440626
False,1,False,W,131171774.55878125
False,1,False,W,131172502.09784375
False,2,False,W,131172810.2033125
